row.names,DGS,DON,EZU,FBT,FXD,FXG,FXH,FXN,FXO,FXR,FXU,FXZ,QTEC,QUAL,SPAB,SPIB,SPLB,XSLV
2015-04-01,0,0,0,0.15,0,0.1,0.15,0,0,0,0,0,0,0.2,0,0,0.4,0
2015-05-01,0,0,0.1,0.15,0,0,0.15,0,0,0,0,0,0,0.2,0,0.4,0,0
2015-06-01,0,0,0.15,0.1,0,0,0.15,0,0,0,0,0,0,0.2,0,0.4,0,0
2015-07-01,0,0,0.15,0.1,0,0,0.15,0,0,0,0,0,0,0.2,0,0.4,0,0
2015-08-01,0,0,0,0,0,0,0.15,0,0.15,0,0,0.1,0,0.2,0,0.4,0,0
2015-09-01,0,0,0,0.15,0,0.15,0.1,0,0,0,0,0,0,0,0.4,0,0,0.2
2015-10-01,0,0,0,0,0.1,0.15,0,0,0,0,0.15,0,0,0,0.4,0,0,0.2
2015-11-01,0,0,0,0,0,0,0,0,0,0,0.15,0,0.1,0.15,0.4,0,0,0.2
2015-12-01,0,0,0,0,0,0,0,0,0.07,0,0.06,0,0.07,0,0,0.4,0,0.4
2016-01-01,0,0,0,0,0,0.1,0,0,0.15,0,0,0,0.15,0.2,0,0.4,0,0
2016-02-01,0,0,0,0.1,0,0.15,0,0,0,0,0,0,0.15,0.2,0,0.4,0,0
2016-03-01,0,0,0,0,0,0.15,0,0,0,0,0.15,0.1,0,0,0.4,0,0,0.2
2016-04-01,0,0.2,0,0,0,0.15,0,0,0,0,0.15,0.1,0,0,0.4,0,0,0
2016-05-01,0.1,0.2,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0.4,0
2016-06-01,0,0.2,0,0,0,0,0,0.15,0,0.1,0,0.15,0,0,0,0,0.4,0
2016-07-01,0,0,0,0,0,0,0.1,0.15,0,0,0,0.15,0,0,0,0,0.4,0.2
2016-08-01,0,0,0,0,0,0,0.07,0,0,0,0.06,0.07,0,0,0,0,0.4,0.4
2016-09-01,0.1,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0.4,0.2
2016-10-01,0.15,0,0,0.1,0,0,0,0,0,0,0,0,0.15,0,0,0,0.4,0.2
2016-11-01,0,0,0.15,0,0,0,0,0,0,0.1,0,0,0.15,0,0,0.4,0,0.2
2016-12-01,0,0,0,0,0,0,0,0,0.1,0.15,0,0,0.15,0,0,0.4,0,0.2
2017-01-01,0,0,0,0,0,0,0,0.1,0.15,0.15,0,0,0,0,0,0.4,0,0.2
2017-02-01,0,0,0,0,0,0,0,0,0.15,0.15,0,0.1,0,0,0,0.4,0,0.2
2017-03-01,0,0.2,0,0,0,0,0,0,0.15,0.1,0,0,0.15,0,0,0,0.4,0
2017-04-01,0.15,0,0.1,0,0,0,0,0,0,0,0,0,0.15,0.2,0,0,0.4,0
2017-05-01,0.15,0,0,0.1,0,0,0,0,0,0,0,0,0.15,0.2,0,0.4,0,0
2017-06-01,0.1,0,0.15,0,0,0,0,0,0,0,0,0,0.15,0.2,0,0,0.4,0
2017-07-01,0,0,0.15,0,0,0,0.1,0,0,0,0,0,0.15,0.2,0,0,0.4,0
2017-08-01,0,0,0.1,0.15,0,0,0.15,0,0,0,0,0,0,0.2,0,0,0.4,0
2017-09-01,0.15,0,0,0.15,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0.4,0
2017-10-01,0.15,,0.1,0.15,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0
2017-11-01,0.15,,0.1,0.15,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0
