"","BAB","BIL","CWB","DEM","DGS","DON","EES","EMB","FLOT","FTSL","FV","GOVT","MTUM","NEAR","PDBC","PXH","QUAL","REET","SJNK","SPAB","SPHB","SPIB","SPLB","SPSM","SRLN","XMLV","XSLV"
"2015-03-31",19.5,23,26,25,22,5,9,21,17,11,1,12,4,19.5,27,24,6,8,18,14,16,15,10,2,13,3,7
"2015-04-30",26,24,15,5,4,11,3,13,18,12,1,21,8,20,27,6,9,25,14,22,7,17,23,2,10,16,19
"2015-05-29",25,21,6,1,5,18,4,13,16,12,3,23,11,17,15,2,9,26,14,24,7,20,27,8,10,19,22
"2015-06-30",25,17,5,4,10,22,2,19,11,14,3,23,7,12,8,1,9,26,20,24,15,21,27,6,16,13,18
"2015-07-31",23,8,12,24,26,20,13,19,7,10,2,14,1,9,17,21,4,25,15,18,22,16,27,6,11,3,5
"2015-08-31",8,6,19,26,25,18,21,20,9,12,3,4,1,7,24,27,11,17,22,10,23,13,16,14,15,2,5
"2015-09-30",2,4,19,26,25,18,22,14,8,9,13,1,10,5,23,27,17,15,20,3,24,7,6,21,16,11,12
"2015-10-30",3,7,17,27,23,15,20,12,13,16,25,1,14,8,22,26,11,6,21,2,19,5,4,24,18,10,9
"2015-11-30",11,14,15,26,20,6,9,7,19,24,22,13,5,16,23,21,2,4,27,12,10,8,17,18,25,3,1
"2015-12-31",10,13,12,24,18,6,7,15,16,23,8,17,3,14,27,22,1,5,26,20,11,19,21,9,25,4,2
"2016-01-29",1,4,21,26,23,13,17,15,5,19,12,3,2,8,27,25,6,10,24,11,22,14,16,18,20,7,9
"2016-02-29",1,4,23,22,19,17,21,10,6,12,20,2,13,5,26,25,16,11,18,3,27,7,9,24,14,8,15
"2016-03-31",1,13,26,11,9,10,21,6,18,15,27,2,22,14,23,12,17,7,20,3,24,8,5,25,19,4,16
"2016-04-29",16,24,23,2,3,5,11,8,26,18,27,20,21,25,12,1,13,7,17,15,10,14,6,19,22,4,9
"2016-05-31",23,27,17,9,12,4,5,18,24,19,16,26,15,25,2,3,14,10,13,22,1,21,11,7,20,6,8
"2016-06-30",11,27,15,26,24,5,9,12,22,17,10,21,8,25,1,20,23,14,6,18,13,16,4,7,19,3,2
"2016-07-29",8,27,14,20,16,6,11,10,24,22,13,19,5,26,3,15,25,12,9,18,21,17,4,7,23,2,1
"2016-08-31",15,27,7,3,2,12,9,11,23,24,14,20,8,25,26,1,17,13,16,21,18,19,10,5,22,6,4
"2016-09-30",22,26,7,3,2,16,8,9,21,18,14,25,12,23,27,1,15,17,10,24,6,20,11,4,19,13,5
"2016-10-31",25,16,5,8,4,19,6,15,13,10,17,26,20,14,12,1,18,27,3,24,2,21,22,7,9,23,11
"2016-11-30",26,10,14,19,24,13,2,21,7,12,17,23,22,11,3,6,15,27,9,20,1,18,25,5,8,16,4
"2016-12-30",26,14,17,19,24,5,2,23,13,15,8,22,18,16,9,12,6,25,11,21,1,20,27,4,10,7,3
"2017-01-31",27,18,13,12,20,5,1,23,16,15,8,25,14,17,19,9,7,21,11,24,2,22,26,4,10,6,3
"2017-02-28",27,21,12,10,13,5,2,20,18,17,6,26,9,19,22,11,8,16,14,25,1,24,23,4,15,3,7
"2017-03-31",20,25,7,2,1,10,24,8,16,18,9,22,4,21,27,3,5,14,11,23,15,17,13,12,19,6,26
"2017-04-28",10,21,7,3,1,9,26,8,16,24,12,15,2,18,27,4,6,13,20,17,23,11,14,19,22,5,25
"2017-05-31",9,22,3,4,2,24,25,5,15,23,11,13,1,16,27,14,6,20,18,12,26,10,7,17,21,8,19
"2017-06-30",6,21,2,16,4,22,15,7,20,24,5,10,1,19,27,23,12,17,18,9,26,11,3,13,25,8,14
"2017-07-31",11,25,2,12,6,17,9,19,20,24,3,18,1,21,27,13,5,22,23,16,15,14,4,7,26,8,10
"2017-08-31",6,20,5,4,3,22,26,16,15,24,8,13,1,19,17,2,9,14,27,12,18,11,7,21,25,10,23
"2017-09-29",7,21,6,3,2,19,16,11,24,27,8,18,5,22,4,1,9,17,26,15,10,14,12,13,25,23,20
"2017-10-18",13,21,9,5,3,15,10,14,23,27,6,24,4,22,1,2,8,19,25,20,7,18,17,11,26,16,12
