"","Asset Class","Asset Cat","Sub-Cat","Factor","Close","Rank"
"BAB","FIXED","LT.BD","MUNI","BABS",30.53,13
"BIL","FIXED","ST.BD","SOVRGN","UST",45.73,21
"CWB","FIXED","ALTFI","CORP","CONV",51.45,9
"DEM","EQUITY","EEM","EMGMKT","BROAD",44.09,5
"DGS","EQUITY","EEM","EMGMKT","BROAD",49.78,3
"DON","EQUITY","MIDCAP","VALUE","DIV",100.83,15
"EES","EQUITY","SMCAP","BLEND","EPS",35.35,10
"EMB","FIXED","ALTFI","EMGMKT","EMBD",116.29,14
"FLOT","FIXED","ST.BD","CORP","FLOAT",50.89,23
"FTSL","FIXED","IT.BD","CORP","SRLOAN",48.31,27
"FV","EQUITY","MIDCAP","GROWTH","GROWTH",26.63,6
"GOVT","FIXED","IT.BD","SOVRGN","GENERIC",25.2,24
"MTUM","EQUITY","LGCAP","BLEND","FACTMO",98.03,4
"NEAR","FIXED","ST.BD","CORP","GENERIC",50.26,22
"PDBC","ALTRN","REAL","COMM","ALT",17.02,1
"PXH","EQUITY","EEM","EMGMKT","BROAD",22.02,2
"QUAL","EQUITY","LGCAP","VALUE","FACTQT",79.09,8
"REET","ALTRN","REAL","REIT","ALT",25.87,19
"SJNK","FIXED","ALTFI","CORP","HIYLD",27.95,25
"SPAB","FIXED","IT.BD","DIV","AGG",28.82,20
"SPHB","EQUITY","LGCAP","BLEND","FACTHB",40.17,7
"SPIB","FIXED","IT.BD","CORP","GENERIC",34.5,18
"SPLB","FIXED","LT.BD","CORP","GENERIC",28.11,17
"SPSM","EQUITY","SMCAP","BLEND","GENERIC",29.5,11
"SRLN","FIXED","IT.BD","CORP","SRLOAN",47.48,26
"XMLV","EQUITY","MIDCAP","BLEND","FACTLV",44.73,16
"XSLV","EQUITY","SMCAP","VALUE","FACTLV",46.77,12
