row.names,DEM,DGS,DON,EES,FV,MTUM,PXH,QUAL,SPHB,SPSM,XMLV,XSLV
2015-11-01,0,0,0,0,0.3,0.35,0,0,0,0,0.35,0
2015-12-01,0,0,0,0,0.1427,0.1573,0,0,0,0,0.35,0.35
2016-01-01,0,0,0,0,0.35,0.35,0,0,0,0,0.3,0
2016-02-01,0,0,0,0,0,0.35,0,0.3,0,0,0.35,0
2016-03-01,0,0,0,0,0,0.35,0,0,0,0,0.35,0.3
2016-04-01,0,0,0,0,0,0.35,0,0.1092,0,0,0.35,0.1908
2016-05-01,0,0,0,0,0,0.3,0,0,0,0,0.35,0.35
2016-06-01,0,0,0.1637,0,0,0.1363,0,0,0,0,0.35,0.35
2016-07-01,0,0,0.2961,0,0,0.0039,0,0,0,0,0.35,0.35
2016-08-01,0,0,0.3,0,0,0,0,0,0,0,0.35,0.35
2016-09-01,0,0,0.3,0,0,0,0,0,0,0,0.35,0.35
2016-10-01,0,0,0.2028,0,0,0.0371,0.0601,0,0,0,0.35,0.35
2016-11-01,0,0,0,0,0,0,0.35,0,0,0,0.35,0.3
2016-12-01,0,0,0,0.07,0,0,0.23,0,0,0,0.35,0.35
2017-01-01,0,0,0,0.247,0,0,0.053,0,0,0,0.35,0.35
2017-02-01,0,0,0,0.1761,0,0,0.1508,0,0.0383,0,0.2848,0.35
2017-03-01,0,0,0,0,0,0,0.1072,0,0.1928,0,0.35,0.35
2017-04-01,0,0,0,0,0,0.329,0.0071,0,0.2189,0.0551,0.0399,0.35
2017-05-01,0,0.0353,0,0.1097,0,0.35,0,0,0,0,0.155,0.35
2017-06-01,0,0.2492,0,0.0344,0,0.35,0.0475,0,0,0,0.0436,0.2753
2017-07-01,0,0.1265,0,0.3206,0,0.35,0,0.0766,0.1263,0,0,0
2017-08-01,0,0.1153,0,0.0086,0,0.35,0,0.0789,0.2739,0,0,0.1733
2017-09-01,0,0.1754,0,0.102,0,0.35,0.0516,0.321,0,0,0,0
2017-10-01,0,0.1141,0,0.1859,0,0.35,0,0.35,0,0,0,0
2017-11-01,0,0.0865,0,0.156,0,0.35,0,0.35,0,0,0.0575,0
