row.names,IWB,VB,VEU,VO,VWO
2015-11-01,0.35,0.2,0.05,0.35,0.05
2015-12-01,0.35,0.2,0.05,0.35,0.05
2016-01-01,0.35,0.2,0.05,0.35,0.05
2016-02-01,0.35,0.2,0.05,0.35,0.05
2016-03-01,0.35,0.2,0.05,0.35,0.05
2016-04-01,0.35,0.2,0.05,0.35,0.05
2016-05-01,0.35,0.2,0.05,0.35,0.05
2016-06-01,0.35,0.2,0.05,0.35,0.05
2016-07-01,0.35,0.2,0.05,0.35,0.05
2016-08-01,0.35,0.35,0.05,0.2,0.05
2016-09-01,0.35,0.35,0.05,0.05,0.2
2016-10-01,0.35,0.35,0.05,0.05,0.2
2016-11-01,0.2,0.35,0.05,0.05,0.35
2016-12-01,0.35,0.35,0.05,0.1359,0.1141
2017-01-01,0.35,0.35,0.05,0.2,0.05
2017-02-01,0.35,0.35,0.05,0.2,0.05
2017-03-01,0.35,0.35,0.05,0.2,0.05
2017-04-01,0.35,0.35,0.05,0.2,0.05
2017-05-01,0.35,0.35,0.05,0.2,0.05
2017-06-01,0.35,0.05,0.05,0.2647,0.2853
2017-07-01,0.35,0.05,0.35,0.2,0.05
2017-08-01,0.35,0.05,0.35,0.2,0.05
2017-09-01,0.35,0.05,0.35,0.0524,0.1976
2017-10-01,0.35,0.05,0.35,0.2,0.05
2017-11-01,0.35,0.05,0.35,0.2,0.05
